Indices,Distance,Amplitude,Flag,X,Y,Z,Timestamp
0,0.54415894,555.85657,9,0.4071574,0.36101496,0.0,988673
7,0.8531494,541.6908,9,0.63835406,-0.5660106,0.0,988883
6,1.3973999,148.26538,1,1.2139766,-0.6920891,0.0,988883
5,2.9165497,119.95282,1,2.7767382,-0.89218134,0.0,988883
4,2.8253174,208.99588,1,2.8101604,-0.29226086,0.0,988883
3,2.385254,252.12227,1,2.3724577,0.24673912,0.0,988883
2,2.0611877,217.35713,1,1.9623799,0.63052356,0.0,988883
1,1.2411194,359.26138,1,1.0782095,0.61468816,0.0,988883
0,0.6243286,527.75635,9,0.46714294,0.41420248,0.0,988883
7,3.6951752,70.293594,1,2.7648501,-2.4515145,0.0,989093
6,3.0506592,98.43614,1,2.6502285,-1.5108974,0.0,989093
5,2.8382416,109.94127,1,2.702184,-0.86822665,0.0,989093
4,2.713623,227.24695,1,2.6990654,-0.2807068,0.0,989093
3,2.3682404,302.16367,1,2.3555355,0.24497919,0.0,989093
2,2.1423187,204.53047,1,2.0396216,0.65534174,0.0,989093
1,2.1603851,168.6284,1,1.8768121,1.0699722,0.0,989093
0,1.4858551,433.7095,1,1.111765,0.9857707,0.0,989093
7,3.8108826,50.517822,1,2.8514261,-2.528279,0.0,989302
6,3.1646118,72.07132,1,2.7492235,-1.5673347,0.0,989302
5,2.8744965,98.2103,1,2.7367008,-0.87931716,0.0,989302
4,2.6829681,171.05168,1,2.6685748,-0.27753574,0.0,989302
3,2.3871002,219.9405,1,2.3742943,0.24693011,0.0,989302
2,2.2022095,154.1314,1,2.0966415,0.67366254,0.0,989302
1,2.1701508,121.76326,1,1.8852959,1.0748087,0.0,989302
0,0.1210022,523.802,9,0.09053777,0.080277294,0.0,989302
7,4.7830353,42.67176,64,3.5788224,-3.173241,0.0,989511
6,3.9572906,54.89336,1,3.437855,-1.959924,0.0,989511
5,2.999237,71.73088,1,2.8554616,-0.9174757,0.0,989511
4,2.740097,118.739525,1,2.7253973,-0.28344536,0.0,989511
3,2.465042,145.40039,1,2.451818,0.2549927,0.0,989511
2,0.8711395,237.43994,1,0.82937944,0.2664842,0.0,989511
1,0.8278198,256.55933,1,0.71915984,0.40999362,0.0,989511
0,0.22489929,537.152,9,0.16827695,0.14920643,0.0,989511
7,4.665283,59.279217,1,3.4907165,-3.0951197,0.0,989720
6,3.3158264,76.021164,1,2.8805897,-1.6422266,0.0,989720
5,2.956787,97.433495,1,2.8150465,-0.9044901,0.0,989720
4,2.718277,149.1622,1,2.7036943,-0.28118822,0.0,989720
3,2.5030975,162.69543,1,2.4896693,0.25892928,0.0,989720
2,0.85601807,375.99432,1,0.81498283,0.26185852,0.0,989720
1,0.7342224,544.6739,9,0.6378481,0.36363772,0.0,989720
0,0.29711914,541.4418,9,0.2223142,0.19711973,0.0,989720
7,3.6126404,71.380684,64,2.7030947,-2.396758,0.0,989929
6,3.25708,93.94038,1,2.8295543,-1.6131313,0.0,989929
5,2.8842163,93.39735,64,2.7459548,-0.8822905,0.0,989929
4,2.6517181,207.6848,1,2.6374927,-0.27430314,0.0,989929
3,2.4761658,251.44456,1,2.462882,0.25614336,0.0,989929
